State,Delta,Theta,Alpha,Beta,Gamma
Baseline,20586.26,30049.05,31226.00,29691.80,290689.42
Baseline,31796.85,43242.54,26657.45,37106.26,311859.29
Baseline,53959.79,23479.25,23518.46,19513.28,287100.89
Baseline,33087.85,18974.09,12320.05,33793.04,289790.82
Baseline,32174.85,23425.84,11732.30,24933.00,259400.13
Baseline,32381.17,21451.66,17491.31,21225.75,263232.17
Baseline,12446.35,21882.38,11977.83,14332.05,297872.63
Baseline,25518.93,37684.11,25296.22,40607.62,318296.41
Baseline,1658.90,11078.44,8838.15,15091.75,261257.67
Baseline,13904.98,9373.96,5771.53,13634.00,267297.57
Baseline,13330.13,10031.15,9008.05,19355.59,276272.31
Baseline,7602.79,8277.36,6396.94,12144.86,257038.50
Baseline,5412.24,9347.74,9909.18,20136.18,270526.93
Baseline,7065.92,11911.29,12537.67,18057.38,261340.07
Baseline,42437.69,27008.86,25011.59,36431.89,299137.98
Baseline,82733.98,42465.30,16509.55,46671.16,315965.90
Baseline,62677.34,26478.00,46311.87,87097.60,391859.85
Baseline,46472.42,31004.21,20628.02,38169.08,361341.63
Baseline,9680.69,6632.18,8904.11,17560.47,250870.77
Baseline,9375.99,6342.19,13639.27,27707.79,284469.17
Baseline,6973.43,35259.76,27383.20,64355.20,331292.41
Baseline,5013.27,5802.52,6037.47,13688.57,253518.13
Baseline,8714.25,4971.11,10874.17,17330.36,270554.64
Baseline,2648.54,9238.04,15848.24,24725.25,287294.02
Baseline,5869.21,7876.24,15926.98,22680.97,267521.01
Baseline,12816.38,26264.93,67440.85,48045.63,333166.60
Baseline,14098.76,11922.98,7369.85,12935.59,264570.79
Baseline,12321.82,10550.04,21288.34,53386.72,308195.59
Baseline,4433.68,5928.37,15258.37,26794.43,272031.25
Baseline,9542.47,10384.23,11962.50,19180.26,240401.11
Baseline,5942.52,11222.26,8485.72,24628.25,273809.14
Baseline,4837.83,7884.93,4327.95,37341.69,270663.29
Baseline,2704.49,6952.05,13923.03,27107.01,271153.00
Baseline,4845.26,13077.40,15330.82,32381.65,269500.43
